i,j,P,Q,est
0,1,X,X,-0.09
0,1,X,Y,-0.198
0,1,X,Z,0.036
0,1,Y,X,-0.09
0,1,Y,Y,0.18
0,1,Y,Z,-0.171
0,1,Z,X,0.018
0,1,Z,Y,-0.09
0,1,Z,Z,1.107
0,2,X,X,0.009
0,2,X,Y,0.054
0,2,X,Z,-0.063
0,2,Y,X,-0.09
0,2,Y,Y,-0.027
0,2,Y,Z,-0.054
0,2,Z,X,-0.027
0,2,Z,Y,-0.045
0,2,Z,Z,1.053
0,3,X,X,0.036
0,3,X,Y,-0.045
0,3,X,Z,-0.081
0,3,Y,X,0.054
0,3,Y,Y,0.018
0,3,Y,Z,-0.099
0,3,Z,X,0.018
0,3,Z,Y,0.027
0,3,Z,Z,1.116
0,4,X,X,-0.09
0,4,X,Y,0.027
0,4,X,Z,-0.153
0,4,Y,X,0.108
0,4,Y,Y,-0.063
0,4,Y,Z,-0.054
0,4,Z,X,0.045
0,4,Z,Y,-0.09
0,4,Z,Z,0.972
0,5,X,X,-0.027
0,5,X,Y,-0.072
0,5,X,Z,-0.081
0,5,Y,X,-0.027
0,5,Y,Y,-0.009
0,5,Y,Z,-0.225
0,5,Z,X,-0.045
0,5,Z,Y,0.027
0,5,Z,Z,1.017
0,6,X,X,-0.063
0,6,X,Y,-0.108
0,6,X,Z,-0.081
0,6,Y,X,0.072
0,6,Y,Y,0.027
0,6,Y,Z,-0.072
0,6,Z,X,0.063
0,6,Z,Y,-0.027
0,6,Z,Z,0.981
0,7,X,X,-0.18
0,7,X,Y,-0.018
0,7,X,Z,0.054
0,7,Y,X,0.036
0,7,Y,Y,-0.009
0,7,Y,Z,-0.018
0,7,Z,X,-0.198
0,7,Z,Y,-0.09
0,7,Z,Z,0.909
0,8,X,X,0.045
0,8,X,Y,-0.072
0,8,X,Z,0.207
0,8,Y,X,0.009
0,8,Y,Y,-0.018
0,8,Y,Z,-0.126
0,8,Z,X,0.036
0,8,Z,Y,0.0
0,8,Z,Z,0.945
0,9,X,X,-0.126
0,9,X,Y,-0.009
0,9,X,Z,0.027
0,9,Y,X,0.144
0,9,Y,Y,0.117
0,9,Y,Z,-0.162
0,9,Z,X,-0.081
0,9,Z,Y,-0.054
0,9,Z,Z,1.008
0,10,X,X,0.189
0,10,X,Y,0.081
0,10,X,Z,-0.09
0,10,Y,X,0.117
0,10,Y,Y,0.135
0,10,Y,Z,-0.135
0,10,Z,X,0.036
0,10,Z,Y,-0.135
0,10,Z,Z,1.134
0,11,X,X,-0.144
0,11,X,Y,0.027
0,11,X,Z,-0.081
0,11,Y,X,0.027
0,11,Y,Y,0.063
0,11,Y,Z,-0.117
0,11,Z,X,0.036
0,11,Z,Y,0.099
0,11,Z,Z,1.098
0,12,X,X,-0.099
0,12,X,Y,-0.045
0,12,X,Z,0.018
0,12,Y,X,0.234
0,12,Y,Y,0.036
0,12,Y,Z,-0.135
0,12,Z,X,-0.054
0,12,Z,Y,-0.027
0,12,Z,Z,1.17
0,13,X,X,-0.09
0,13,X,Y,0.054
0,13,X,Z,-0.144
0,13,Y,X,0.009
0,13,Y,Y,0.027
0,13,Y,Z,0.063
0,13,Z,X,0.072
0,13,Z,Y,-0.063
0,13,Z,Z,1.062
0,14,X,X,0.063
0,14,X,Y,-0.072
0,14,X,Z,-0.063
0,14,Y,X,0.018
0,14,Y,Y,0.0
0,14,Y,Z,-0.117
0,14,Z,X,0.009
0,14,Z,Y,-0.054
0,14,Z,Z,1.08
0,15,X,X,0.153
0,15,X,Y,0.0
0,15,X,Z,-0.081
0,15,Y,X,0.009
0,15,Y,Y,0.027
0,15,Y,Z,-0.099
0,15,Z,X,0.117
0,15,Z,Y,0.027
0,15,Z,Z,1.017
0,16,X,X,0.153
0,16,X,Y,0.117
0,16,X,Z,-0.144
0,16,Y,X,-0.063
0,16,Y,Y,0.126
0,16,Y,Z,-0.036
0,16,Z,X,-0.072
0,16,Z,Y,-0.099
0,16,Z,Z,1.008
0,17,X,X,0.018
0,17,X,Y,-0.036
0,17,X,Z,-0.18
0,17,Y,X,0.018
0,17,Y,Y,0.09
0,17,Y,Z,-0.027
0,17,Z,X,0.063
0,17,Z,Y,0.045
0,17,Z,Z,0.891
0,18,X,X,0.063
0,18,X,Y,0.054
0,18,X,Z,-0.081
0,18,Y,X,0.036
0,18,Y,Y,0.0
0,18,Y,Z,-0.009
0,18,Z,X,0.009
0,18,Z,Y,-0.063
0,18,Z,Z,0.963
0,19,X,X,-0.054
0,19,X,Y,0.144
0,19,X,Z,-0.072
0,19,Y,X,-0.054
0,19,Y,Y,-0.099
0,19,Y,Z,-0.288
0,19,Z,X,0.225
0,19,Z,Y,-0.09
0,19,Z,Z,1.008
0,20,X,X,-0.117
0,20,X,Y,-0.027
0,20,X,Z,-0.054
0,20,Y,X,-0.234
0,20,Y,Y,-0.072
0,20,Y,Z,-0.153
0,20,Z,X,-0.045
